Distance(m),V(x)(mV)
-1.038461538461538396e+02,-3.333889215812398277e+00
-1.028428093645484864e+02,-3.339787600053913952e+00
-1.018394648829431475e+02,-3.345607069325759575e+00
-1.008361204013377943e+02,-3.351341647960711434e+00
-9.983277591973244114e+01,-3.356985027723967452e+00
-9.882943143812708797e+01,-3.362530548450672008e+00
-9.782608695652174902e+01,-3.367971177459164966e+00
-9.682274247491639585e+01,-3.373299487656302720e+00
-9.581939799331104268e+01,-3.378507634245217606e+00
-9.481605351170568952e+01,-3.383587329939353516e+00
-9.381270903010033635e+01,-3.388529818579645081e+00
-9.280936454849498318e+01,-3.393325847044209809e+00
-9.180602006688963002e+01,-3.397965635331893886e+00
-9.080267558528427685e+01,-3.402438844692382780e+00
-8.979933110367892368e+01,-3.406734543666309900e+00
-8.879598662207357052e+01,-3.410841171888909784e+00
-8.779264214046821735e+01,-3.414746501500120157e+00
-8.678929765886287839e+01,-3.418437595992623201e+00
-8.578595317725752523e+01,-3.421900766317204301e+00
-8.478260869565217206e+01,-3.425121524051724098e+00
-8.377926421404681889e+01,-3.428084531426152548e+00
-8.277591973244146573e+01,-3.430773547981256222e+00
-8.177257525083612677e+01,-3.433171373622761369e+00
-8.076923076923077360e+01,-3.435259787816022925e+00
-7.976588628762542044e+01,-3.437019484648414114e+00
-7.876254180602006727e+01,-3.438430003467768614e+00
-7.775919732441471410e+01,-3.439469654785288544e+00
-7.675585284280936094e+01,-3.440115441110286554e+00
-7.575250836120400777e+01,-3.440342972362114615e+00
-7.474916387959866881e+01,-3.440126375481512788e+00
-7.374581939799331565e+01,-3.439438197839611355e+00
-7.274247491638796248e+01,-3.438249304017926278e+00
-7.173913043478260931e+01,-3.436528765507082639e+00
-7.073578595317725615e+01,-3.434243742845899394e+00
-6.973244147157190298e+01,-3.431359359696048994e+00
-6.872909698996654981e+01,-3.427838568321174062e+00
-6.772575250836121086e+01,-3.423642005913475561e+00
-6.672240802675585769e+01,-3.418727841185949412e+00
-6.571906354515050452e+01,-3.413051610625256416e+00
-6.471571906354515136e+01,-3.406566043779584607e+00
-6.371237458193979819e+01,-3.399220876938733316e+00
-6.270903010033444502e+01,-3.390962654551412658e+00
-6.170568561872909186e+01,-3.381734517718779642e+00
-6.070234113712375290e+01,-3.371475979105607923e+00
-5.969899665551839973e+01,-3.360122683623326001e+00
-5.869565217391304657e+01,-3.347606154265307055e+00
-5.769230769230769340e+01,-3.333853522517488344e+00
-5.668896321070234023e+01,-3.318787242830657291e+00
-5.568561872909698707e+01,-3.302324790729207482e+00
-5.468227424749163390e+01,-3.284378344250467485e+00
-5.367892976588629494e+01,-3.264854448565446265e+00
-5.267558528428094178e+01,-3.243653663833850231e+00
-5.167224080267558861e+01,-3.220670196602579693e+00
-5.066889632107023544e+01,-3.195791515378418435e+00
-4.966555183946488228e+01,-3.168897951404563873e+00
-4.866220735785952911e+01,-3.139862286161556604e+00
-4.765886287625417594e+01,-3.108549327712335053e+00
-4.665551839464882278e+01,-3.074815478737578545e+00
-4.565217391304348382e+01,-3.038508299982327632e+00
